id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,,,,,,
0,Brooklyn,Crown Heights,40.6778,-73.94339,single,100,,,,,,
1,Brooklyn,Bedford-Stuyvesant,40.68317,-73.94701,single,70,,,,,,
2,Brooklyn,Crown Heights,40.6761,-73.9529,single,110,,,,,,
3,Brooklyn,Crown Heights,40.67586,-73.95155,single,60,,,,,,
4,Manhattan,Little Italy,40.71702,-73.99811,whole,90,,,,,,
5,Manhattan,East Village,40.72321,-73.98157,single,68,,,,,,
6,Manhattan,Upper West Side,40.77956,-73.98098,whole,115,,,,,,
7,Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,single,75,,,,,,
8,Manhattan,East Village,40.72956,-73.98158,whole,129,,,,,,
9,Brooklyn,Williamsburg,40.71069,-73.95175,whole,130,,,,,,
10,Brooklyn,Williamsburg,40.70863,-73.94641,whole,95,,,,,,
11,Manhattan,Harlem,40.82888,-73.94307,single,75,,,,,,
12,Brooklyn,Park Slope,40.67319,-73.97323,whole,175,,,,,,
13,Brooklyn,Carroll Gardens,40.67846,-73.99443,whole,190,,,,,,
14,Brooklyn,Crown Heights,40.6715,-73.94808,single,49,,,,,,
15,Manhattan,East Village,40.72681,-73.98534,whole,212,,,,,,
16,Manhattan,Lower East Side,40.71904,-73.99392,single,95,,,,,,
17,Brooklyn,Williamsburg,40.71031,-73.9583,whole,140,,,,,,
18,Manhattan,Harlem,40.81322,-73.95306,whole,135,,,,,,
19,Brooklyn,Park Slope,40.67732,-73.98225,whole,150,,,,,,
20,Brooklyn,Gowanus,40.68076,-73.9896,whole,190,,,,,,
21,Manhattan,East Harlem,40.79603,-73.94903,whole,124,,,,,,
22,Brooklyn,Williamsburg,40.71492,-73.96282,whole,135,,,,,,
23,Manhattan,Morningside Heights,40.80393,-73.95838,single,122,,,,,,
24,Manhattan,Upper West Side,40.80082,-73.9652,single,109,,,,,,
25,Manhattan,Harlem,40.82976,-73.94867,single,85,,,,,,
26,Brooklyn,Bedford-Stuyvesant,40.683,-73.91981,whole,145,,,,,,
27,Manhattan,Upper West Side,40.78971,-73.9729,whole,195,,,,,,
28,Brooklyn,Carroll Gardens,40.67817,-73.99495,whole,250,,,,,,
29,Brooklyn,Greenpoint,40.73119,-73.95578,single,125,,,,,,
30,Manhattan,Little Italy,40.71943,-73.99627,whole,575,,,,,,
31,Manhattan,Upper West Side,40.78,-73.98249,whole,150,,,,,,
32,Brooklyn,Bushwick,40.70514,-73.91922,single,70,,,,,,
33,Manhattan,Inwood,40.86713,-73.92811,single,90,,,,,,
34,Manhattan,East Village,40.73198,-73.98881,single,65,,,,,,
35,Manhattan,East Village,40.72542,-73.97986,whole,500,,,,,,
36,Manhattan,Washington Heights,40.83494,-73.93869,whole,250,,,,,,
37,Manhattan,Chinatown,40.71659,-73.98945,whole,125,,,,,,
38,Manhattan,West Village,40.72966,-74.00243,whole,200,,,,,,
39,Brooklyn,Greenpoint,40.72898,-73.95552,whole,229,,,,,,
40,Bronx,Kingsbridge,40.87207,-73.90193,whole,90,,,,,,
41,Manhattan,Upper West Side,40.77728,-73.97818,whole,110,,,,,,
42,Brooklyn,Greenpoint,40.72646,-73.95341,single,59,,,,,,
43,Brooklyn,Williamsburg,40.71015,-73.96101,whole,195,,,,,,
44,Brooklyn,Williamsburg,40.71903,-73.9597,whole,169,,,,,,
45,Manhattan,East Harlem,40.80892,-73.93985,whole,113,,,,,,
46,Manhattan,Harlem,40.80276,-73.9567,whole,250,,,,,,
47,Queens,Astoria,40.77635,-73.93426,whole,115,,,,,,
48,Brooklyn,Greenpoint,40.72488,-73.95018,single,55,,,,,,
49,Brooklyn,Williamsburg,40.71398,-73.95763,single,69,,,,,,
50,Manhattan,Lower East Side,40.71876,-73.98394,whole,150,,,,,,
51,Brooklyn,South Slope,40.66552,-73.99019,whole,169,,,,,,
52,Brooklyn,Greenpoint,40.73749,-73.95292,single,179,,,,,,
53,Manhattan,Hell's Kitchen,40.76248,-73.9913,single,150,,,,,,
54,Brooklyn,Boerum Hill,40.68674,-73.98876,whole,135,,,,,,
55,Brooklyn,Clinton Hill,40.6848,-73.96219,whole,350,,,,,,
56,Brooklyn,Williamsburg,40.70516,-73.95455,single,120,,,,,,
57,Manhattan,East Village,40.72329,-73.98486,single,71,,,,,,
58,Brooklyn,Greenpoint,40.73776,-73.95327,single,349,,,,,,
59,Brooklyn,Greenpoint,40.73738,-73.95482,single,349,,,,,,
60,Brooklyn,Park Slope,40.67542,-73.98142,whole,165,,,,,,
61,Brooklyn,Greenpoint,40.73842,-73.95312,single,249,,,,,,
62,Brooklyn,Brooklyn Heights,40.6926,-73.99832,single,100,,,,,,
63,Brooklyn,Brooklyn Heights,40.69441,-73.99771,whole,200,,,,,,
64,Manhattan,East Village,40.72399,-73.98374,whole,169,,,,,,
65,Brooklyn,Bedford-Stuyvesant,40.6824,-73.94615,whole,185,,,,,,
66,Brooklyn,Bushwick,40.68949,-73.91708,whole,65,,,,,,
67,Brooklyn,Fort Greene,40.68819,-73.97258,whole,130,,,,,,
68,Brooklyn,Williamsburg,40.7205,-73.96015,whole,199,,,,,,
69,Manhattan,East Village,40.72451,-73.98094,whole,225,,,,,,
70,Brooklyn,Greenpoint,40.73813,-73.95394,single,179,,,,,,
71,Brooklyn,Crown Heights,40.67591,-73.94715,whole,150,,,,,,
72,Manhattan,East Village,40.72843,-73.98895,whole,139,,,,,,
73,Manhattan,Two Bridges,40.71271,-73.99776,single,95,,,,,,
74,Brooklyn,Crown Heights,40.66966,-73.94735,whole,79,,,,,,